nse_symbol,yahoo_symbol,stock_name,industry
NSE:COLPAL-EQ,COLPAL.NS,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods
NSE:CAMS-EQ,CAMS.NS,Computer Age Management Services Ltd.,Financial Services
NSE:CONCORDBIO-EQ,CONCORDBIO.NS,Concord Biotech Ltd.,Healthcare
NSE:CONCOR-EQ,CONCOR.NS,Container Corporation of India Ltd.,Services
NSE:COROMANDEL-EQ,COROMANDEL.NS,Coromandel International Ltd.,Chemicals
NSE:CRAFTSMAN-EQ,CRAFTSMAN.NS,Craftsman Automation Ltd.,Automobile and Auto Components
NSE:CREDITACC-EQ,CREDITACC.NS,CreditAccess Grameen Ltd.,Financial Services
NSE:CROMPTON-EQ,CROMPTON.NS,Crompton Greaves Consumer Electricals Ltd.,Consumer Durables
NSE:CUMMINSIND-EQ,CUMMINSIND.NS,Cummins India Ltd.,Capital Goods
NSE:CYIENT-EQ,CYIENT.NS,Cyient Ltd.,Information Technology
NSE:DCMSHRIRAM-EQ,DCMSHRIRAM.NS,DCM Shriram Ltd.,Diversified
NSE:DLF-EQ,DLF.NS,DLF Ltd.,Realty
NSE:DOMS-EQ,DOMS.NS,DOMS Industries Ltd.,Fast Moving Consumer Goods
NSE:DABUR-EQ,DABUR.NS,Dabur India Ltd.,Fast Moving Consumer Goods
NSE:DALBHARAT-EQ,DALBHARAT.NS,Dalmia Bharat Ltd.,Construction Materials
NSE:DATAPATTNS-EQ,DATAPATTNS.NS,Data Patterns (India) Ltd.,Capital Goods
NSE:DEEPAKFERT-EQ,DEEPAKFERT.NS,Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals
NSE:DEEPAKNTR-EQ,DEEPAKNTR.NS,Deepak Nitrite Ltd.,Chemicals
NSE:DELHIVERY-EQ,DELHIVERY.NS,Delhivery Ltd.,Services
NSE:DEVYANI-EQ,DEVYANI.NS,Devyani International Ltd.,Consumer Services
NSE:DIVISLAB-EQ,DIVISLAB.NS,Divi's Laboratories Ltd.,Healthcare
NSE:DIXON-EQ,DIXON.NS,Dixon Technologies (India) Ltd.,Consumer Durables
NSE:LALPATHLAB-EQ,LALPATHLAB.NS,Dr. Lal Path Labs Ltd.,Healthcare
NSE:DRREDDY-EQ,DRREDDY.NS,Dr. Reddy's Laboratories Ltd.,Healthcare
NSE:DUMMYVEDL1-EQ,DUMMYVEDL1.NS,Dummy Vedanta Ltd. 1,Metals & Mining
NSE:DUMMYVEDL2-EQ,DUMMYVEDL2.NS,Dummy Vedanta Ltd. 2,Power
NSE:DUMMYVEDL3-EQ,DUMMYVEDL3.NS,Dummy Vedanta Ltd. 3,Oil Gas & Consumable Fuels
NSE:DUMMYVEDL4-EQ,DUMMYVEDL4.NS,Dummy Vedanta Ltd. 4,Metals & Mining
NSE:EIDPARRY-EQ,EIDPARRY.NS,E.I.D. Parry (India) Ltd.,Fast Moving Consumer Goods
NSE:EIHOTEL-EQ,EIHOTEL.NS,EIH Ltd.,Consumer Services
NSE:EICHERMOT-EQ,EICHERMOT.NS,Eicher Motors Ltd.,Automobile and Auto Components
NSE:ELECON-EQ,ELECON.NS,Elecon Engineering Co. Ltd.,Capital Goods
NSE:ELGIEQUIP-EQ,ELGIEQUIP.NS,Elgi Equipments Ltd.,Capital Goods
NSE:EMAMILTD-EQ,EMAMILTD.NS,Emami Ltd.,Fast Moving Consumer Goods
NSE:EMCURE-EQ,EMCURE.NS,Emcure Pharmaceuticals Ltd.,Healthcare
NSE:EMMVEE-EQ,EMMVEE.NS,Emmvee Photovoltaic Power Ltd.,Capital Goods
NSE:ENDURANCE-EQ,ENDURANCE.NS,Endurance Technologies Ltd.,Automobile and Auto Components
NSE:ENGINERSIN-EQ,ENGINERSIN.NS,Engineers India Ltd.,Construction
NSE:ERIS-EQ,ERIS.NS,Eris Lifesciences Ltd.,Healthcare
NSE:ESCORTS-EQ,ESCORTS.NS,Escorts Kubota Ltd.,Capital Goods
NSE:ETERNAL-EQ,ETERNAL.NS,Eternal Ltd.,Consumer Services
NSE:EXIDEIND-EQ,EXIDEIND.NS,Exide Industries Ltd.,Automobile and Auto Components
NSE:NYKAA-EQ,NYKAA.NS,FSN E-Commerce Ventures Ltd.,Consumer Services
NSE:FEDERALBNK-EQ,FEDERALBNK.NS,Federal Bank Ltd.,Financial Services
NSE:FACT-EQ,FACT.NS,Fertilisers and Chemicals Travancore Ltd.,Chemicals
NSE:FINCABLES-EQ,FINCABLES.NS,Finolex Cables Ltd.,Capital Goods
NSE:FSL-EQ,FSL.NS,Firstsource Solutions Ltd.,Services
NSE:FIVESTAR-EQ,FIVESTAR.NS,Five-Star Business Finance Ltd.,Financial Services
NSE:FORCEMOT-EQ,FORCEMOT.NS,Force Motors Ltd.,Automobile and Auto Components
NSE:FORTIS-EQ,FORTIS.NS,Fortis Healthcare Ltd.,Healthcare
NSE:GAIL-EQ,GAIL.NS,GAIL (India) Ltd.,Oil Gas & Consumable Fuels
NSE:GVT&D-EQ,GVT&D.NS,GE Vernova T&D India Ltd.,Capital Goods
NSE:GMRAIRPORT-EQ,GMRAIRPORT.NS,GMR Airports Ltd.,Services
NSE:GABRIEL-EQ,GABRIEL.NS,Gabriel India Ltd.,Automobile and Auto Components
NSE:GALLANTT-EQ,GALLANTT.NS,Gallantt Ispat Ltd.,Capital Goods
NSE:GRSE-EQ,GRSE.NS,Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods
NSE:GICRE-EQ,GICRE.NS,General Insurance Corporation of India,Financial Services
NSE:GILLETTE-EQ,GILLETTE.NS,Gillette India Ltd.,Fast Moving Consumer Goods
NSE:GLAND-EQ,GLAND.NS,Gland Pharma Ltd.,Healthcare
NSE:GLAXO-EQ,GLAXO.NS,Glaxosmithkline Pharmaceuticals Ltd.,Healthcare
NSE:GLENMARK-EQ,GLENMARK.NS,Glenmark Pharmaceuticals Ltd.,Healthcare
NSE:MEDANTA-EQ,MEDANTA.NS,Global Health Ltd.,Healthcare
NSE:GODIGIT-EQ,GODIGIT.NS,Go Digit General Insurance Ltd.,Financial Services
NSE:GPIL-EQ,GPIL.NS,Godawari Power & Ispat Ltd.,Capital Goods
NSE:GODFRYPHLP-EQ,GODFRYPHLP.NS,Godfrey Phillips India Ltd.,Fast Moving Consumer Goods
NSE:GODREJCP-EQ,GODREJCP.NS,Godrej Consumer Products Ltd.,Fast Moving Consumer Goods
